>>> for i,e in enumerate(L): print("{:>3}, {:<20} , 0, {:>3}, {:>3}".format(i,e[0],e[1],e[2]))
  i, key               , type, freq, cnt
  1, behavior             , 0,  35,  17
  2, disease              , 1,  34,   6
  3, older                , 0,  34,   1
  4, self                 , 0,  33,  10
  5, mortality            , 1,  33,   2
  6, information          , 0,  32,  17
  7, performance          , 0,  32,  10
  8, gender               , 0,  32,  10
  9, people               , 0,  32,   8
 10, work                 , 0,  32,   4
 11, strategy             , 0,  32,   2
 12, illness              , 0,  32,   2
 13, exchange             , 0,  32,   2
 14, management           , 0,  31,  16
 15, state                , 0,  31,  13
 16, technology           , 0,  31,  13
 17, drug                 , 1,  31,   9
 18, quality              , 0,  31,   8
 19, depression           , 1,  31,   7
 20, risk                 , 0,  30,  24
 21, knowledge            , 0,  30,  17
 22, unit                 , 0,  30,  12
 23, user                 , 0,  30,  12
 24, disorder             , 0,  30,   8
 25, small                , 0,  30,   7
 26, aid                  , 0,  30,   6
 27, adjustment           , 0,  30,   5
 28, psychosocial         , 0,  30,   1
 29, dynamics             , 0,  29,  20
 30, world                , 0,  29,  14
 31, hiv                  , 1,  29,  14
 32, peer                 , 0,  29,  12
 33, school               , 0,  29,   4
 34, experience           , 0,  29,   4
 35, disability           , 0,  29,   4
 36, base                 , 0,  28,  18
 37, learn                , 0,  28,  11
 38, public               , 0,  28,   8
 39, prevention           , 0,  28,   5
 40, web                  , 0,  27,  18
 41, capital              , 0,  27,  16
 42, infection            , 1,  27,  12
 43, sexual               , 1,  27,   7
 44, virus                , 0,  27,   1
 45, search               , 0,  26,   7
 46, transmission         , 0,  26,   7
 47, industry             , 0,  26,   5
 48, space                , 0,  26,   2
 49, trial                , 0,  26,   2
 50, trust                , 0,  25,  15
 51, networking           , 0,  25,  12
 52, media                , 0,  25,  11
 53, transmit             , 0,  25,   2
 54, classroom            , 0,  24,   1
 55, alliance             , 0,  24,   1
 56, complex              , 0,  23,  17
 57, digital              , 0,  23,  11
 58, collaborative        , 0,  23,  10
 59, internet             , 0,  22,  19
 60, collaboration        , 0,  22,  18
 61, virtual              , 0,  22,   9
 62, food                 , 0,  22,   1
 63, percolation          , 0,  22,   1
 64, online               , 0,  21,  13
 65, content              , 0,  21,  10
 66, agent                , 0,  21,   9
 67, logit                , 0,  21,   1
 68, mining               , 0,  20,  12
 69, site                 , 0,  20,  11
 70, detection            , 0,  20,   9
 71, mobile               , 0,  19,  12
 72, probability          , 0,  19,   1
 73, institutionalization , 0,  19,   1
 74, recommendation       , 0,  18,  11
 75, software             , 0,  18,   7
 76, node                 , 0,  17,   5
 77, privacy              , 0,  16,  11
 78, 0                    , 0,  16,  10
 79, big                  , 0,  16,   5
 80, mainstream           , 0,  15,   1
 81, sentiment            , 0,  14,   5
 82, facebook             , 0,  12,  11
 83, annotate             , 0,  12,   2
 84, twitter              , 0,  11,   9
 85, austria              , 3,  11,   1
 86, circulation          , 0,  11,   1
 87, semigroup            , 0,  10,   3
 88, handicapped          , 0,  10,   3
 89, retarded             , 0,  10,   3
 90, o                    , 0,  10,   1
 91, malignant            , 1,  10,   1
 92, 1914                 , 0,   9,   2
 93, peasant              , 0,   9,   1
 94, 1998                 , 0,   9,   1
 95, leinhardt            , 2,   8,   3
 96, db                   , 0,   8,   3
 97, dl                   , 0,   8,   2
 98, bibliography         , 0,   8,   2
 99, vernacular           , 0,   8,   1
100, holland              , 2,   7,   2
101, propinquity          , 0,   7,   1
102, cup                  , 0,   7,   1
103, cautionary           , 0,   7,   1
104, sorensen             , 2,   7,   1
105, freeman              , 2,   7,   1
106, mc                   , 0,   7,   1
107, 1988                 , 0,   7,   1
108, psychose             , 0,   7,   1
109, symposium            , 0,   7,   1
110, roger                , 2,   6,   3
111, rm                   , 0,   6,   2
112, rehospitalization    , 1,   6,   2
113, granovetter          , 2,   6,   1
114, liverpool            , 3,   6,   1
115, mississippi          , 3,   6,   1
116, 1984                 , 0,   6,   1
